r,chord,twist,airfoil_index
0.0075,0.0135,120.0,0
0.0225,0.0135,120.0,0
0.049,0.0135,120.0,0
0.055,0.0495,38.0,0
0.0675,0.081433,37.055,1
0.0825,0.080111,32.544,1
0.0975,0.077012,28.677,1
0.1125,0.073126,25.262,2
0.1275,0.069008,22.43,2
0.1425,0.064952,19.988,2
0.1575,0.061102,18.034,3
0.1725,0.05752,16.349,3
0.1875,0.054223,14.663,3
0.2025,0.051204,13.067,4
0.2175,0.048447,11.829,4
0.2325,0.045931,10.753,4
0.2475,0.043632,9.8177,5
0.2625,0.041529,8.8827,5
0.2775,0.039601,7.9877,5
0.2925,0.037831,7.2527,6
0.3075,0.036201,6.565,6
0.3225,0.034697,5.9187,6
0.3375,0.033306,5.3045,7
0.3525,0.032017,4.7185,7
0.3675,0.030819,4.1316,7
0.3825,0.029704,3.5439,8
0.3975,0.028664,2.9433,8
0.4125,0.027691,2.2185,8
0.4275,0.02678,1.097,9
0.4425,0.025926,-0.7167,9
